,Date,LocationNo,SalesFloorSize,total_Income,total_IncomePerSqFt,total_PurchasesCash,total_PurchasesOther,total_CostOfGoodsSold,total_GrossProfit,total_GrossProfitPerSqFt,total_NetIncomeLoss
48,2009-01-01,00052,8161,153978.0,18.86754,24574.0,15919.0,76799.0,77179.0,9.457051,-21516.0
49,2009-01-01,00053,4879,141352.0,28.97151,35106.0,7879.0,49768.0,91584.0,18.771059,12581.0
50,2009-01-01,00054,5349,119819.0,22.400261,24797.0,15532.0,51716.0,68103.0,12.731912,-20851.0
51,2009-01-01,00055,6869,126861.0,18.468627,24146.0,11886.0,34490.0,92371.0,13.447517,11172.0
52,2009-01-01,00056,12780,183725.0,14.375978,27144.0,13600.0,69393.0,114332.0,8.946165,14114.0
53,2009-01-01,00057,7081,159395.0,22.510238,24549.0,12466.0,39055.0,120340.0,16.994774,34031.0
54,2009-01-01,00058,7588,211444.0,27.865577,42625.0,18177.0,84384.0,127060.0,16.74486,22436.0
55,2009-01-01,00059,7960,161536.0,20.293467,25472.0,11247.0,44407.0,117129.0,14.714698,34436.0
56,2009-01-01,00061,7715,111763.0,14.486454,19912.0,14872.0,61496.0,50267.0,6.515489,-22587.0
57,2009-01-01,00062,5327,104339.0,19.586821,20648.0,9821.0,7907.0,96432.0,18.102496,28944.0
58,2009-01-01,00064,7194,173696.0,24.144564,31106.0,26863.0,80678.0,93018.0,12.929941,-9129.0
59,2009-01-01,00065,8782,174217.0,19.837964,28605.0,12767.0,48390.0,125827.0,14.327829,31166.0
60,2009-01-01,00066,5776,99842.0,17.285664,19613.0,13378.0,11908.0,87934.0,15.22403,19239.0
61,2009-01-01,00067,6729,142705.0,21.20746,23582.0,14375.0,45388.0,97317.0,14.462327,5948.0
62,2009-01-01,00068,7025,142833.0,20.332099,26440.0,9058.0,49260.0,93573.0,13.32,7402.0
63,2009-01-01,00069,8469,161520.0,19.071909,23393.0,12827.0,41693.0,119827.0,14.148895,35137.0
64,2009-01-01,00070,7894,159966.0,20.264251,35139.0,11729.0,77332.0,82634.0,10.46795,6744.0
65,2009-01-01,00071,5415,161507.0,29.825854,32121.0,23495.0,65389.0,96118.0,17.750323,2187.0
66,2009-01-01,00072,5460,102767.0,18.821794,18820.0,8159.0,42545.0,60222.0,11.02967,-5228.0
67,2009-01-01,00073,6443,117836.0,18.288995,28055.0,11293.0,43277.0,74559.0,11.572093,9914.0
