2018-06-26 00:00:00,  [1, 23]
2018-06-27 00:00:00,  [1, 23]
2018-06-28 00:00:00,  [1, 23]
2018-06-29 00:00:00,  [1, 23]
2018-06-30 00:00:00,  [1, 23]
2018-07-01 00:00:00,  [1, 23]
2018-07-02 00:00:00,  [1, 23]
2018-07-03 00:00:00,  [1, 23]
2018-07-04 00:00:00,  [1, 23]
2018-07-05 00:00:00,  [1, 23]
2018-07-06 00:00:00,  [1, 23]
2018-07-07 00:00:00,  [1, 23]
2018-07-08 00:00:00,  [1, 23]
2018-07-09 00:00:00,  [1, 23]
2018-07-10 00:00:00,  [1, 23, 12.0]
2018-07-11 00:00:00,  [1, 23, 13.0]
2018-07-12 00:00:00,  [1, 23, 14.0]
2018-07-13 00:00:00,  [1, 23, 15.0]
2018-07-14 00:00:00,  [1, 23, 16.0]
2018-07-15 00:00:00,  [1, 23, 17.0]
2018-07-16 00:00:00,  [1, 23, 18.0]
2018-07-17 00:00:00,  [1, 23, 19.0]
2018-07-18 00:00:00,  [1, 23, 20.0]
2018-07-19 00:00:00,  [1, 23, 21.0]
2018-07-20 00:00:00,  [1, 23, 22.0]
2018-07-21 00:00:00,  [1, 23, 23.0]
2018-07-22 00:00:00,  [1, 23, 24.0]
2018-07-23 00:00:00,  [1, 23, 13]
2018-07-24 00:00:00,  [1, 23, 13]
2018-07-25 00:00:00,  [1, 23, 13]
2018-07-26 00:00:00,  [1, 23, 13]
2018-07-27 00:00:00,  [1, 23, 13]
2018-07-28 00:00:00,  [1, 23, 13]
2018-07-29 00:00:00,  [1, 23, 13]
2018-07-30 00:00:00,  [1, 23, 13]
2018-07-31 00:00:00,  [1, 23, 13]
2018-08-01 00:00:00,  [1, 23, 13]
2018-08-02 00:00:00,  [1, 23, 13]
2018-08-03 00:00:00,  [1, 23, 13]
2018-08-04 00:00:00,  [1, 23, 13]
2018-08-05 00:00:00,  [1, 23, 13]
2018-08-06 00:00:00,  [1, 23, 13]
2018-08-07 00:00:00,  [1, 23, 13]
2018-08-08 00:00:00,  [1, 23, 13]
2018-08-09 00:00:00,  [1, 23, 13, 12.333333333333334]
2018-08-10 00:00:00,  [1, 23, 13, 13.333333333333334]
2018-08-11 00:00:00,  [1, 23, 13, 14.333333333333334]
2018-08-12 00:00:00,  [1, 23, 13, 15.333333333333334]
2018-08-13 00:00:00,  [1, 23, 13, 16.333333333333336]
2018-08-14 00:00:00,  [1, 23, 13, 17.333333333333336]
2018-08-15 00:00:00,  [1, 23, 13, 18.333333333333336]
2018-08-16 00:00:00,  [1, 23, 13, 19.333333333333336]
